SWEEP -- live, appended as each combination finishes
started 01:25:02 AM ET

  gate   tau  ceil  edge |  buys closes | loss%  | med px |  c/buy  |    total
  0.990   40    97c  3.0c |   192    123 | 11.46% |  94.0c |  -1.39c |    -2.66
  0.990   40    98c  0.3c |   375    179 |  5.87% |  96.7c |  -0.13c |    -0.49
  0.990   40    98c  1.0c |   373    178 |  5.90% |  96.7c |  -0.14c |    -0.52
  0.990   40    98c  3.0c |   192    123 | 11.46% |  94.0c |  -1.39c |    -2.66
  0.990   50    90c  0.3c |    79     56 | 31.65% |  81.0c |  -4.21c |    -3.32
  0.990   50    90c  1.0c |    79     56 | 31.65% |  81.0c |  -4.21c |    -3.32
  0.990   50    90c  3.0c |    79     56 | 31.65% |  81.0c |  -4.21c |    -3.32
  0.990   50    95c  0.3c |   195    121 | 13.85% |  93.0c |  -1.14c |    -2.22
  0.990   50    95c  1.0c |   195    121 | 13.85% |  93.0c |  -1.14c |    -2.22
  0.990   50    95c  3.0c |   195    121 | 13.85% |  93.0c |  -1.14c |    -2.22
  0.990   50    97c  0.3c |   321    171 |  8.41% |  95.0c |  -0.32c |    -1.01
  0.990   50    97c  1.0c |   321    171 |  8.41% |  95.0c |  -0.32c |    -1.01
  0.990   50    97c  3.0c |   251    142 | 10.76% |  94.0c |  -0.80c |    -2.01
  0.990   50    98c  0.3c |   513    211 |  5.26% |  96.8c |  +0.35c |    +1.81
  0.990   50    98c  1.0c |   509    211 |  5.30% |  96.8c |  +0.34c |    +1.74
  0.990   50    98c  3.0c |   251    142 | 10.76% |  94.0c |  -0.80c |    -2.01
  0.990   55    90c  0.3c |    91     64 | 29.67% |  82.0c |  -2.46c |    -2.23
  0.990   55    90c  1.0c |    91     64 | 29.67% |  82.0c |  -2.46c |    -2.23
  0.990   55    90c  3.0c |    91     64 | 29.67% |  82.0c |  -2.46c |    -2.23
  0.990   55    95c  0.3c |   221    133 | 13.12% |  93.0c |  -0.34c |    -0.76
  0.990   55    95c  1.0c |   221    133 | 13.12% |  93.0c |  -0.34c |    -0.76
  0.990   55    95c  3.0c |   221    133 | 13.12% |  93.0c |  -0.34c |    -0.76
  0.990   55    97c  0.3c |   378    183 |  7.67% |  95.1c |  +0.29c |    +1.11
  0.990   55    97c  1.0c |   378    183 |  7.67% |  95.1c |  +0.29c |    +1.11
  0.990   55    97c  3.0c |   296    157 |  9.80% |  94.1c |  +0.10c |    +0.30
  0.990   55    98c  0.3c |   594    222 |  4.88% |  96.8c |  +0.72c |    +4.26
  0.990   55    98c  1.0c |   589    222 |  4.92% |  96.8c |  +0.71c |    +4.18
  0.990   55    98c  3.0c |   296    157 |  9.80% |  94.1c |  +0.10c |    +0.30
  0.995   30    90c  0.3c |    37     27 | 43.24% |  76.0c |  -9.69c |    -3.59
  0.995   30    90c  1.0c |    37     27 | 43.24% |  76.0c |  -9.69c |    -3.59
  0.995   30    90c  3.0c |    37     27 | 43.24% |  76.0c |  -9.69c |    -3.59
  0.995   30    95c  0.3c |    79     59 | 21.52% |  92.0c |  -4.46c |    -3.52
  0.995   30    95c  1.0c |    79     59 | 21.52% |  92.0c |  -4.46c |    -3.52
  0.995   30    95c  3.0c |    79     59 | 21.52% |  92.0c |  -4.46c |    -3.52
